Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2531.000,2182.000,
2007-02-01,,2448.000,2122.000,
2007-03-01,,2459.000,2143.000,
2007-04-01,,2491.000,2162.000,
2007-05-01,,2519.000,2187.000,
2007-06-01,,2543.000,2207.000,
2007-07-01,,2584.000,2240.000,
2007-08-01,,2619.000,2268.000,
2007-09-01,,2638.000,2286.000,
2007-10-01,,2644.000,2295.000,
2007-11-01,,2665.000,2310.000,
2007-12-01,,2673.000,2319.000,
2008-01-01,,2674.000,2316.000,
2008-02-01,,2671.000,2317.000,
2008-03-01,,2678.000,2324.000,
2008-04-01,,2677.000,2324.000,
2008-05-01,,2679.000,2324.000,
2008-06-01,,2679.000,2325.000,
2008-07-01,,2681.000,2327.000,
2008-08-01,,2681.000,2329.000,
2008-09-01,,2669.000,2319.000,
2008-10-01,,2641.000,2296.000,
2008-11-01,,2612.000,2272.000,
2008-12-01,,2574.000,2240.000,
2009-01-01,,2539.000,2211.000,
2009-02-01,,2506.000,2183.000,
2009-03-01,,2479.000,2161.000,
2009-04-01,,2454.000,2139.000,
2009-05-01,,2436.000,2124.000,
2009-06-01,,2426.000,2115.000,
2009-07-01,,2427.000,2116.000,
2009-08-01,,2423.000,2112.000,
2009-09-01,,2423.000,2113.000,
2009-10-01,,2416.000,2108.000,
2009-11-01,,2404.000,2099.000,
2009-12-01,,2398.000,2093.000,
2010-01-01,1840.000,2403.000,2097.000,
2010-02-01,1834.000,2409.000,2101.000,
2010-03-01,1843.000,2412.000,2104.000,
2010-04-01,1852.000,2420.000,2110.000,
2010-05-01,1870.000,2432.000,2121.000,
2010-06-01,1886.000,2447.000,2134.000,
2010-07-01,1890.000,2464.000,2148.000,
2010-08-01,1900.000,2479.000,2161.000,
2010-09-01,1902.000,2494.000,2174.000,
2010-10-01,1917.000,2505.000,2184.000,
2010-11-01,1909.000,2512.000,2189.000,
2010-12-01,1930.000,2519.000,2197.000,
2011-01-01,1933.000,2532.000,2207.000,
2011-02-01,1938.000,2543.000,2217.000,
2011-03-01,1934.000,2557.000,2228.000,
2011-04-01,1955.000,2575.000,2243.000,
2011-05-01,1973.000,2589.000,2256.000,
2011-06-01,1987.000,2607.000,2272.000,
2011-07-01,2001.000,2626.000,2289.000,
2011-08-01,2016.000,2642.000,2303.000,
2011-09-01,2027.000,2658.000,2316.000,
2011-10-01,2039.000,2672.000,2328.000,
2011-11-01,2046.000,2675.000,2333.000,
2011-12-01,2047.000,2680.000,2336.000,
2012-01-01,2050.000,2687.000,2341.000,1740.000
2012-02-01,2060.000,2696.000,2349.000,1775.000
2012-03-01,2064.000,2710.000,2361.000,1785.000
2012-04-01,2085.000,2724.000,2373.000,1778.000
2012-05-01,2097.000,2741.000,2389.000,1798.000
2012-06-01,2110.000,2753.000,2400.000,1791.000
2012-07-01,2126.000,2769.000,2415.000,1799.000
2012-08-01,2139.000,2783.000,2426.000,1789.000
2012-09-01,2149.000,2792.000,2434.000,1803.000
2012-10-01,2162.000,2798.000,2440.000,1804.000
2012-11-01,2180.000,2803.000,2447.000,1816.000
2012-12-01,2191.000,2804.000,2449.000,1818.000
2013-01-01,2196.000,2806.000,2452.000,1823.000
2013-02-01,2202.000,2816.000,2461.000,1820.000
2013-03-01,2206.000,2824.000,2466.000,1820.000
2013-04-01,2221.000,2833.000,2475.000,1823.000
2013-05-01,2238.000,2849.000,2490.000,1839.000
2013-06-01,2255.000,2862.000,2502.000,1846.000
2013-07-01,2273.000,2874.000,2515.000,1863.000
2013-08-01,2287.000,2885.000,2525.000,1870.000
2013-09-01,2295.000,2894.000,2533.000,1878.000
2013-10-01,2304.000,2899.000,2538.000,1878.000
2013-11-01,2304.000,2897.000,2537.000,1876.000
2013-12-01,2304.000,2892.000,2533.000,1870.000
2014-01-01,2305.000,2895.000,2535.000,1876.000
2014-02-01,2311.000,2899.000,2539.000,1879.000
2014-03-01,2312.000,2907.000,2545.000,1883.000
2014-04-01,2325.000,2922.000,2558.000,1894.000
2014-05-01,2342.000,2941.000,2574.000,1900.000
2014-06-01,2356.000,2955.000,2587.000,1907.000
2014-07-01,2368.000,2968.000,2599.000,1922.000
2014-08-01,2384.000,2983.000,2613.000,1933.000
2014-09-01,2390.000,2989.000,2620.000,1948.000
2014-10-01,2391.000,2993.000,2624.000,1955.000
2014-11-01,2392.000,2993.000,2624.000,1959.000
2014-12-01,2394.000,2993.000,2625.000,1963.000
2015-01-01,2404.000,2999.000,2632.000,1975.000
2015-02-01,2410.000,3010.000,2641.000,1984.000
2015-03-01,2416.000,3022.000,2650.000,1984.000
2015-04-01,2429.000,3038.000,2663.000,1992.000
2015-05-01,2443.000,3058.000,2680.000,2002.000
2015-06-01,2457.000,3077.000,2695.000,2008.000
2015-07-01,2472.000,3091.000,2710.000,2026.000
2015-08-01,2484.000,3104.000,2722.000,2038.000
2015-09-01,2495.000,3110.000,2729.000,2046.000
2015-10-01,2496.000,3110.000,2730.000,2048.000
2015-11-01,2499.000,3106.000,2727.000,2046.000
2015-12-01,2498.000,3102.000,2725.000,2045.000
2016-01-01,2500.000,3100.000,2725.000,2050.000
2016-02-01,2500.000,3102.000,2726.000,2052.000
2016-03-01,2505.000,3107.000,2731.000,2055.000
2016-04-01,2512.000,3118.000,2740.000,2063.000
2016-05-01,2519.000,3133.000,2751.000,2068.000
2016-06-01,2526.000,3146.000,2761.000,2076.000
2016-07-01,2534.000,3155.000,2769.000,2082.000
2016-08-01,2541.000,3160.000,2775.000,2091.000
2016-09-01,2546.000,3159.000,2777.000,2095.000
2016-10-01,2542.000,3150.000,2770.000,2095.000
2016-11-01,2540.000,3137.000,2762.000,2088.000
2016-12-01,2532.000,3127.000,2754.000,2086.000
2017-01-01,2528.000,3119.000,2748.000,2084.000
2017-02-01,2527.000,3115.000,2747.000,2090.000
2017-03-01,2528.000,3116.000,2748.000,2092.000
2017-04-01,2532.000,3125.000,2754.000,2098.000
2017-05-01,2541.000,3136.000,2763.000,2098.000
2017-06-01,2548.000,3148.000,2773.000,2105.000
2017-07-01,2557.000,3158.000,2782.000,2113.000
2017-08-01,2566.000,3166.000,2790.000,2116.000
2017-09-01,2568.000,3165.000,2790.000,2118.000
2017-10-01,2563.000,3157.000,2782.000,2105.000
2017-11-01,2556.000,3141.000,2771.000,2092.000
2017-12-01,2552.000,3132.000,2762.000,2075.000
2018-01-01,2548.000,3125.000,2757.000,2073.000
2018-02-01,2548.000,3129.000,2759.000,2073.000
2018-03-01,2552.000,3135.000,2764.000,2078.000
2018-04-01,2563.000,3146.000,2775.000,2086.000
2018-05-01,2572.000,3164.000,2788.000,2094.000
2018-06-01,2583.000,3182.000,2803.000,2103.000
2018-07-01,2594.000,3197.000,2815.000,2114.000
2018-08-01,2604.000,3212.000,2828.000,2124.000
2018-09-01,2609.000,3219.000,2834.000,2131.000
2018-10-01,2608.000,3215.000,2832.000,2133.000
2018-11-01,2605.000,3209.000,2827.000,2130.000
2018-12-01,2594.000,3202.000,2820.000,2130.000
2019-01-01,2595.000,3200.000,2819.000,2127.000
2019-02-01,2598.000,3204.000,2823.000,2129.000
2019-03-01,2614.000,3213.000,2834.000,2138.000
2019-04-01,2628.000,3227.000,2846.000,2140.000
2019-05-01,2646.000,3249.000,2865.000,2157.000
2019-06-01,2660.000,3268.000,2882.000,2170.000
2019-07-01,2676.000,3286.000,2898.000,2184.000
2019-08-01,2692.000,3302.000,2913.000,2194.000
2019-09-01,2708.000,3309.000,2922.000,2198.000
2019-10-01,2716.000,3307.000,2924.000,2199.000
2019-11-01,2722.000,3303.000,2923.000,2198.000
2019-12-01,2726.000,3296.000,2922.000,2199.000
2020-01-01,2730.000,3300.000,2925.000,2200.000
2020-02-01,2739.000,3307.000,2932.000,2203.000
2020-03-01,2749.000,3305.000,2935.000,2209.000
2020-04-01,2751.000,3293.000,2929.000,2207.000
2020-05-01,2744.000,3273.000,2915.000,2207.000
